1,2,3,4,5,6,7,8,9,10,IMG BG SOAL,1,2,3,4,5,6,7,8,9,10,,
PIJAT,PEGAL,PINGGANG,ENCOK,JAMU,GENDONG,,,,,bg1.jpg,,Jumlah huruf: 5,,,Jumlah huruf: 4,,,,,,level1.png,Easy
UANG,CELENGAN,AYAM,JAGO,GULAT,SUMO,,,,,bg1.jpg,,Jumlah huruf: 8,,,Jumlah huruf: 5,,,,,,level1.png,Easy
GAMBAR,PEMANDANGAN,GUNUNG,ANGKER,HUTAN,BAKAU,KEPITING,,,,bg1.jpg,,Jumlah huruf: 11,,,,Jumlah huruf: 5,,,,,level1.png,Easy
TEMBAK,BURUNG,SARANG,VIRUS,RABIES,ANJING,GALAK,,,,bg1.jpg,,Jumlah huruf: 6,,,,Jumlah huruf: 6,,,,,level1.png,Easy
TAS,BELANJA,SAYUR,SEGAR,PAGI,SENAM,GERAKAN,TUBUH,,,bg2.jpg,,Jumlah huruf: 7,,,,,Jumlah huruf: 7,,,,level2.png,Medium
NASI,KUNING,KUNYIT,JAMU,PAHIT,SENYUM,LEBAR,JALAN,,,bg2.jpg,,Huruf terakhir: G,,,,,Huruf terakhir: R,,,,level2.png,Medium
LONTONG,SAYUR,ASEM,KECUT,MULUT,TUTUP,BOTOL,KECAP,ASIN,,bg2.jpg,,Huruf terakhir: R,,,,,,Huruf terakhir: P,,,level2.png,Medium
TANDUK,KAMBING,TONGSENG,BUMBU,INSTAN,MINUMAN,KEMASAN,KARTON,BUNGKUS,,bg2.jpg,,Huruf terakhir: G,,,,,,Huruf terakhir: N,,,level2.png,Medium
BACA CLUENYA,SPONGEBOB,KRABS,SQUIDWARD,SANDY,GARY,PLANKTON,KAREN,PATRICK,BACA CLUENYA,bg_clue.jpg,,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,Karakter Spongebob,,level_clue.png,Hard
SIPIT,MATA,BOLA,LAMPU,HIAS[*],IKAN,TAWAR,ROTI,GANDUM,BUBUK,bg3.jpg,,Huruf terakhir: A,,,,,,,Huruf terakhir: M,,level3.png,Hard
